Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
16,Dwell Time,5,BATMAN WEARS A CAPE,BATMAN WEARS A CAPE,0.0,1.736842105263158,67.7165547,19,4,3.3669757862031333,3.3669757862031333,0.48732544273992723,1,1,3,2,1,3
16,Dwell Time,6,WHAT GOES UP MUST COME DOWN,WHAT GOES MUST COME DOWN,0.1111111111111111,1.0416666666666667,54.5927118,24,5,5.275429457600237,4.6892706289779875,0.45793658486113165,0,0,0,2,0,4
16,Dwell Time,7,THE MINIMUM AMOUNT OF TIME,THE MINIMUM AMOUNT OF TIME,0.0,1.1153846153846154,64.8056012,26,5,4.814398666515264,4.814398666515264,0.4474921837466111,0,0,4,0,0,4
16,Dwell Time,8,DRUGS SHOULD BE AVOIDED,DRUGS SHOULD BE AVOIDED,0.0,1.0869565217391304,36.6387465,23,4,7.533008805309428,7.533008805309428,0.6823377541041148,0,0,1,1,0,3
17,Dwell Time,1,POPULARITY IS DESIRED BY ALL,POPULARITY IS DESIRED BY ALL,0.0,1.1428571428571428,31.7393488,28,5,10.586228536610683,10.586228536610683,1.0082122415819696,1,0,1,1,3,9
17,Dwell Time,2,ARE YOU SURE YOU WANT THIS,ARE YOU SURE YOU WANT THIS,0.0,1.0384615384615385,28.0705965,26,6,11.114833274027504,11.114833274027504,0.9618605717908417,0,0,0,0,0,6
17,Dwell Time,3,I JUST CANNOT FIGURE THIS OUT,I JUST CANNOT FIGURE THIS OUT,0.0,1.1724137931034482,62.6290772,29,6,5.556524470074741,5.556524470074741,0.5428788275360379,1,0,3,2,1,4
17,Dwell Time,4,A MOST RIDICULOUS THING,A MOST RIDICULOUS THING,0.0,1.2173913043478262,41.406961,23,4,6.665545921131472,6.665545921131472,0.676214803593048,0,0,3,1,0,3
17,Dwell Time,5,I DO NOT FULLY AGREE WITH YOU,I DO NOT FULLY AGREE WITH YOU,0.0,1.103448275862069,44.9696252,29,7,7.738556824796484,7.738556824796484,0.7115914321651939,0,0,3,0,0,6
17,Dwell Time,6,WISHFUL THINKING IS FINE,WISHFUL THINKING IS FINE,0.0,1.75,53.7037807,24,4,5.362750931984198,5.362750931984198,0.7820678442476955,5,0,0,0,1,5
17,Dwell Time,7,WE ARE HAVING SPAGHETTI,WE ARE HAVING SPAGHETTI,0.0,1.2173913043478262,34.9036403,23,4,7.907484652825741,7.907484652825741,0.8022085879678287,0,0,2,1,0,4
17,Dwell Time,8,AN INEFFICIENT WAY TO HEAT A HOUSE,AN INEFFICIENT WAY TO HEAT A HOUSE,0.0,1.088235294117647,44.2434339,34,7,9.221707359382881,9.221707359382881,0.8362822850420749,0,0,1,1,0,6
18,Dwell Time,1,THE DOW JONES INDEX HAS RISEN,THE DOW JONES INDEX HAS RISEN,0.0,1.4137931034482758,59.6367782,29,6,5.835325289252463,5.835325289252463,0.687495220860204,4,10,51,1,0,18
18,Dwell Time,2,THE REGISTRATION PERIOD IS OVER,THE REGISTRATION PERIOD IS OVER,0.0,1.3870967741935485,54.5737679,31,5,6.816461723545389,6.816461723545389,0.7879243390119669,1,0,10,0,0,5
18,Dwell Time,3,MY CAR ALWAYS BREAKS IN THE WINTER,MY CAR ALWAYS BREAKS IN THE WINTER,0.0,1.911764705882353,80.2661,34,7,5.083092364024165,5.083092364024165,0.8098063815234576,1,1,19,0,0,7
18,Dwell Time,4,DO YOU LIKE TO SHOP ON SUNDAY,DO YOU LIKE TO SHOP ON SUNDAY,0.0,1.3793103448275863,35.5198471,29,7,9.797339471092489,9.797339471092489,1.1261309736887917,0,0,10,0,0,7
18,Dwell Time,5,I TOOK THE ROVER FROM THE SHOP,I TOOK THE ROVER FROM THE SHOP,0.0,1.4333333333333333,53.8287439,30,7,6.687876660632982,6.687876660632982,0.7988297122422728,0,0,13,0,0,6
18,Dwell Time,6,TRAVELING REQUIRES A LOT OF FUEL,TRAVELING REQUIRES A LOT OF FUEL,0.0,1.4375,75.7318788,32,6,5.0705199195454265,5.0705199195454265,0.6074060320288792,1,0,16,0,0,4
18,Dwell Time,7,ZERO IN ON THE FACTS,ZERO IN ON THE FACTS,0.0,1.5,38.3569766,20,5,6.257010360926102,6.257010360926102,0.7821262951157625,0,0,9,0,0,5
18,Dwell Time,8,I WATCHED BLAZING SADDLES,I WATCHED BLAZING SADDLES,0.0,1.44,38.7618598,25,4,7.739566717074808,7.739566717074808,0.928748006048977,0,0,11,0,0,3
19,Dwell Time,1,WHY DO YOU ASK SILLY QUESTIONS,WHY DO YOU ASK SILLY QUESTIONS,0.0,1.0666666666666667,37.7870079,30,6,9.527084043084555,9.527084043084555,0.8468519149408493,0,0,1,0,1,5
19,Dwell Time,2,VALIUM IN THE ECONOMY SIZE,VALIUM IN THE ECONOMY SIZE,0.0,1.2307692307692308,45.6573327,26,5,6.833513513591652,6.833513513591652,0.7008731808811951,0,0,2,0,1,5
19,Dwell Time,3,WE ARE HAVING SPAGHETTI,WE ARE HAVING SPAGETTI,0.043478260869565216,1.1818181818181819,32.8770686,22,4,8.029912983178798,7.680786331736242,0.7908247634948816,0,0,1,1,0,4
19,Dwell Time,4,A DUCK QUACKS TO ASK FOR FOOD,A DUCK QUACKS TO ASK FOR,0.1724137931034483,2.0833333333333335,56.3527737,24,6,5.110662370111518,4.229513685609532,0.8872677725888052,1,1,1,1,2,6
19,Dwell Time,5,MY PREFERRED TREAT IS CHOCOLATE,MY PREFERRED TREAT IS CHOCOLATE,0.0,1.2258064516129032,52.7398678,31,5,7.0534875326327615,7.0534875326327615,0.7205175436560347,0,0,2,0,2,4
19,Dwell Time,6,MY FAVORITE SUBJECT IS PSYCHOLOGY,MY FAVORITE SUBJECT IS PSYCHOLOGY,0.0,1.2424242424242424,64.520548,33,5,6.137579612622012,6.137579612622012,0.6354564750441982,2,0,3,1,0,4
19,Dwell Time,7,A TUMOR IS OK PROVIDED IT IS BENIGN,A TUMOR IS OK PROVIDED IT IS BENIGN,0.0,1.2571428571428571,69.3372514,35,8,6.0573500033489935,6.0573500033489935,0.6345795241603708,0,0,3,0,2,7
19,Dwell Time,8,AN OCCASIONAL TASTE OF CHOCOLATE,AN OCCASIONAL TASTE OF CHOCOLATE,0.0,2.0,69.5821089,32,5,5.518659984161532,5.518659984161532,0.919776664026922,1,1,5,1,0,6
