Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
10,Reverse Crossing,3,IMPORTANT NEWS ALWAYS SEEMS TO BE LATE,IMPORTANT NEWS ALWAYS SEEMS TO BE LATE,0,1.210526316,136.7457394,38,7,3.334655997,3.334655997,0.336390737,1,0,2,4,0,5
10,Reverse Crossing,4,THE MUSIC IS BETTER THAN IT SOUNDS,THE MUSIC IS BETTER THAN IT SOUNDS,0,1.794117647,130.597732,34,7,3.124097132,3.124097132,0.46708315,1,1,1,3,2,5
10,Reverse Crossing,5,WATCH OUT FOR LOW FLYING OBJECTS,WATCH OUT FOR LOW FLYING OBJECTS,0,1.75,96.9993555,32,6,3.95878919,3.95878919,0.577323424,0,1,2,3,1,5
10,Reverse Crossing,6,MY PREFERRED TREAT IS CHOCOLATE,MY PREFFERED TREAT IS CHOCOLATE,0.064516129,2.193548387,91.1710602,31,5,4.080242121,3.817000693,0.74585071,1,2,4,2,0,6
10,Reverse Crossing,7,HEAD SHOULDERS KNEES AND TOES,HEAD SHOULDERS KNEES AND TOES,0,2.172413793,132.2878418,29,5,2.630627239,2.630627239,0.476234242,4,1,3,5,1,5
10,Reverse Crossing,8,THE FOUR SEASONS WILL COME,THE FOUR SEASONS WILL COME,0,1.115384615,61.4964346,26,5,5.073464861,5.073464861,0.471572054,1,0,1,0,1,4
11,Reverse Crossing,1,THE LASER PRINTER IS JAMMED,THE LASER PRINTER IS JAMMED,0,1.407407407,88.1713559,27,5,3.674662782,3.674662782,0.430978968,1,0,0,1,1,6
11,Reverse Crossing,2,IF DIPLOMACY DOES NOT WORK,IF DIPLOMACY DOES NOT WORK,0,2.846153846,118.7271364,26,5,2.62787438,2.62787438,0.623277898,1,3,1,3,2,7
11,Reverse Crossing,3,LYDIA WANTS TO GO HOME,LYDIA WANTS TO GO HOME,0,1.863636364,87.4354448,22,5,3.019370469,3.019370469,0.468917383,1,1,1,3,1,6
11,Reverse Crossing,4,PEOPLE BLOW THEIR HORN A LOT,PEOPLE BLOW THEIR HORN A LOT,0,2.428571429,191.7941257,28,6,1.751878473,1.751878473,0.354546834,5,1,4,2,2,8
11,Reverse Crossing,5,MY FAVORITE PLACE TO VISIT,MY FAVOURITE PLACE TO VISIT,0.037037037,1.740740741,135.9907534,27,5,2.382514928,2.294273634,0.345611733,4,0,2,3,0,6
11,Reverse Crossing,6,TRY TO ENJOY YOUR MATERNITY LEAVE,TRY TO ENJOY YOUR MATERNITY LEAVE,0,1.666666667,103.153748,33,6,3.838929827,3.838929827,0.533184698,1,1,0,1,5,6
11,Reverse Crossing,7,A GOOD STIMULUS DESERVES A GOOD RESPONSE,A GOOD STIMULUS DESERVES A GOOD RESPONSE,0,2.175,154.2187419,40,7,3.11246217,3.11246217,0.564133768,2,2,2,0,4,7
11,Reverse Crossing,8,TOSS THE BALL AROUND,TOSS THE BALL AROUND,0,1.4,55.727566,20,4,4.306665753,4.306665753,0.502444338,2,0,0,2,0,4
